# Threads	100x100	200x200	300x300	400x400	500x500
1	22.51	132.38	449.71	1102.14	2149.32
2	12.04	84.05	275.62	664.81	1293.83
3	9.4	62.92	202.8	471.37	920.5
4	7.55	53.05	158.74	369.97	711.14
5	7.09	47.77	150.7	348.73	681.47
6	6.61	45.68	136.13	323.36	632.33
7	6.18	42.33	125.27	295.01	586.93
8	6.4	40.52	114.93	280.73	534.99
9	6.76	41.06	125.99	290.74	563.26
10	6.58	42.06	123.58	279.93	571.79
11	6.27	40.97	119.95	277.1	581.19
12	6.16	39.9	118.64	273.71	547.42
13	6.54	39.37	121.29	286.99	580.94
14	6.69	39.67	122.04	284.91	558.35
15	6.42	38.54	121.96	284.12	575.56
16	7.94	39.41	120.06	284.08	528.42
